model_alias,model_label,family,magnitude_label,magnitude,sim,heldout_improvement,bootstrap_hi,detected,latent_adjacent_spearman,latent_pairwise_reversal
openai_gpt56_sol,GPT,score_x_difficulty,0.0,0.0,0,-0.00045061560737436057,0.00021640902519504124,0,0.9999999999999999,0.0
openai_gpt56_sol,GPT,score_x_difficulty,0.0,0.0,1,-0.0003442543532400921,0.00029269901178485824,0,0.9999999999999999,0.0
openai_gpt56_sol,GPT,score_x_difficulty,0.0,0.0,2,0.00010075494326178269,0.0009526537237812827,0,0.9999999999999999,0.0
openai_gpt56_sol,GPT,score_x_difficulty,0.0,0.0,3,-0.0005874356613867482,-0.00016727938056521063,0,0.9999999999999999,0.0
openai_gpt56_sol,GPT,score_x_difficulty,0.0,0.0,4,-0.00040663643521010595,0.0002475031900119329,0,0.9999999999999999,0.0
openai_gpt56_sol,GPT,score_x_difficulty,0.0,0.0,5,-0.00041090168284058093,-3.622780986195506e-05,0,0.9999999999999999,0.0
openai_gpt56_sol,GPT,score_x_difficulty,0.0,0.0,6,-0.00026715626407919357,0.00045496109618042846,0,0.9999999999999999,0.0
openai_gpt56_sol,GPT,score_x_difficulty,0.0,0.0,7,-0.000611745765753402,0.00021044371467959788,0,0.9999999999999999,0.0
openai_gpt56_sol,GPT,score_x_difficulty,0.0,0.0,8,-0.00018092290939847322,3.9590180277659925e-05,0,0.9999999999999999,0.0
openai_gpt56_sol,GPT,score_x_difficulty,0.0,0.0,9,-0.0004835881132778108,9.618301462066547e-06,0,0.9999999999999999,0.0
openai_gpt56_sol,GPT,score_x_difficulty,0.0,0.0,10,-0.0001195073283354886,0.0003200573493449821,0,0.9999999999999999,0.0
openai_gpt56_sol,GPT,score_x_difficulty,0.0,0.0,11,0.00042744517619619504,0.0016981894100597805,0,0.9999999999999999,0.0
openai_gpt56_sol,GPT,score_x_difficulty,0.0,0.0,12,-0.0001363525616876471,0.00016663433776736847,0,0.9999999999999999,0.0
openai_gpt56_sol,GPT,score_x_difficulty,0.0,0.0,13,-2.9987922541829803e-05,0.000993837833992428,0,0.9999999999999999,0.0
openai_gpt56_sol,GPT,score_x_difficulty,0.0,0.0,14,2.7423713742258382e-05,0.0014391948749000183,0,0.9999999999999999,0.0
openai_gpt56_sol,GPT,score_x_difficulty,0.0,0.0,15,-0.000308429978414293,5.6426090242922555e-05,0,0.9999999999999999,0.0
openai_gpt56_sol,GPT,score_x_difficulty,0.0,0.0,16,0.0004903637146367323,0.0018350365562160298,0,0.9999999999999999,0.0
openai_gpt56_sol,GPT,score_x_difficulty,0.0,0.0,17,-0.00021249909268200584,0.0003179217901482789,0,0.9999999999999999,0.0
openai_gpt56_sol,GPT,score_x_difficulty,0.0,0.0,18,-1.3276658877681147e-05,0.0005848079604497403,0,0.9999999999999999,0.0
openai_gpt56_sol,GPT,score_x_difficulty,0.0,0.0,19,5.358695906015898e-05,0.0007405338081332702,0,0.9999999999999999,0.0
openai_gpt56_sol,GPT,score_x_difficulty,0.0,0.0,20,0.00012803047863163552,0.0015935089166772554,0,0.9999999999999999,0.0
openai_gpt56_sol,GPT,score_x_difficulty,0.0,0.0,21,-0.0005777951269230197,0.0009209674774665055,0,0.9999999999999999,0.0
openai_gpt56_sol,GPT,score_x_difficulty,0.0,0.0,22,-0.00011420371610210145,0.0008879305843842444,0,0.9999999999999999,0.0
openai_gpt56_sol,GPT,score_x_difficulty,0.0,0.0,23,0.0004098039395752928,0.0015988116980419353,0,0.9999999999999999,0.0
openai_gpt56_sol,GPT,score_x_difficulty,0.0,0.0,24,-0.0005302766181015661,6.557659262679261e-05,0,0.9999999999999999,0.0
openai_gpt56_sol,GPT,score_x_difficulty,0.0,0.0,25,-0.0001475232758418321,0.000342288436424254,0,0.9999999999999999,0.0
openai_gpt56_sol,GPT,score_x_difficulty,0.0,0.0,26,-0.00019648884513617793,0.00019032275177344182,0,0.9999999999999999,0.0
