model_alias,model_label,L,displayed_confidence,n_questions,wrong_verify,wrong_use,correct_verify,correct_use,n_wrong,n_correct,p_verify_given_wrong,p_verify_given_correct,delta_p_verify_wrong_minus_correct,delta_ci_lower,delta_ci_upper,identifiable,saturation_label,odds_ratio_haldane_anscombe,or_ci_lower,or_ci_upper,sparse_cells
openai_gpt56_sol,GPT,10.0,0.8,100,19,0,81,0,19,81,1.0,1.0,0.0,0.0,0.0,False,ACTION_SATURATED__ITEM_DISCRIMINATION_NOT_IDENTIFIABLE,0.2392638036809816,0.0046022668069788265,12.43890677200252,True
openai_gpt56_sol,GPT,10.0,0.88,100,19,0,81,0,19,81,1.0,1.0,0.0,0.0,0.0,False,ACTION_SATURATED__ITEM_DISCRIMINATION_NOT_IDENTIFIABLE,0.2392638036809816,0.0046022668069788265,12.43890677200252,True
openai_gpt56_sol,GPT,10.0,0.89,100,19,0,81,0,19,81,1.0,1.0,0.0,0.0,0.0,False,ACTION_SATURATED__ITEM_DISCRIMINATION_NOT_IDENTIFIABLE,0.2392638036809816,0.0046022668069788265,12.43890677200252,True
openai_gpt56_sol,GPT,10.0,0.91,100,2,17,2,79,19,81,0.10526315789473684,0.024691358024691357,0.08057179987004548,-0.038461538461538464,0.23920265780730895,True,,4.542857142857143,0.730287131956517,28.259502485163562,False
openai_gpt56_sol,GPT,10.0,0.99,100,0,19,0,81,19,81,0.0,0.0,0.0,0.0,0.0,False,ACTION_SATURATED__ITEM_DISCRIMINATION_NOT_IDENTIFIABLE,4.17948717948718,0.080392917024734,217.2842301284252,True
openai_gpt56_sol,GPT,20.0,0.9,100,19,0,81,0,19,81,1.0,1.0,0.0,0.0,0.0,False,ACTION_SATURATED__ITEM_DISCRIMINATION_NOT_IDENTIFIABLE,0.2392638036809816,0.0046022668069788265,12.43890677200252,True
openai_gpt56_sol,GPT,20.0,0.93,100,19,0,78,3,19,81,1.0,0.9629629629629629,0.03703703703703709,0.0,0.08433734939759041,True,,1.7388535031847134,0.08618769834939799,35.081706130267825,True
openai_gpt56_sol,GPT,20.0,0.94,100,18,1,79,2,19,81,0.9473684210526315,0.9753086419753086,-0.027940220922677117,-0.15384615384615385,0.05128205128205132,True,,0.38784067085953877,0.04813678139035889,3.124853420359845,False
openai_gpt56_sol,GPT,20.0,0.96,100,1,18,1,80,19,81,0.05263157894736842,0.012345679012345678,0.04028589993502274,-0.03571428571428571,0.15934627170582227,True,,4.351351351351352,0.42807398313869194,44.23127620155488,False
openai_gpt56_sol,GPT,20.0,0.99,100,2,17,0,81,19,81,0.10526315789473684,0.0,0.10526315789473684,0.0,0.26666666666666666,True,,23.285714285714285,1.0701774068293541,506.66785369949343,True
anthropic_sonnet5,Claude,10.0,0.8,100,26,1,60,13,27,73,0.9629629629629629,0.821917808219178,0.14104515474378487,0.021929824561403466,0.25,True,,3.9421487603305785,0.6866912827944545,22.631038485496006,False
anthropic_sonnet5,Claude,10.0,0.88,100,24,3,56,17,27,73,0.8888888888888888,0.7671232876712328,0.121765601217656,-0.039049235993208864,0.2698412698412699,True,,2.168141592920354,0.6263365258193663,7.505291122534532,False
anthropic_sonnet5,Claude,10.0,0.89,100,25,2,54,19,27,73,0.9259259259259259,0.7397260273972602,0.1861998985286657,0.037698412698412676,0.32000000000000006,True,,3.6495412844036696,0.9016449310288813,14.77205841036348,False
anthropic_sonnet5,Claude,10.0,0.91,100,23,4,49,24,27,73,0.8518518518518519,0.6712328767123288,0.18061897513952307,-0.0011293054771316369,0.34613212874082444,True,,2.584736251402918,0.8444142281932485,7.9118296047795384,False
anthropic_sonnet5,Claude,10.0,0.99,100,22,5,28,45,27,73,0.8148148148148148,0.3835616438356164,0.43125317097919835,0.24,0.6011029411764706,True,,6.5311004784688995,2.3008875257604697,18.538617373640914,False
anthropic_sonnet5,Claude,20.0,0.9,100,27,0,63,10,27,73,1.0,0.863013698630137,0.136986301369863,0.06172839506172845,0.22077922077922074,True,,9.094488188976378,0.5145390816197107,160.74525410017458,True
anthropic_sonnet5,Claude,20.0,0.93,100,25,2,55,18,27,73,0.9259259259259259,0.7534246575342466,0.17250126839167934,0.028455284552845517,0.30666666666666664,True,,3.4,0.8371846829290852,13.80818382815444,False
anthropic_sonnet5,Claude,20.0,0.94,100,24,3,53,20,27,73,0.8888888888888888,0.726027397260274,0.16286149162861485,-0.0018091361374943382,0.31298055178652195,True,,2.682242990654206,0.783776453535332,9.179182952565311,False
anthropic_sonnet5,Claude,20.0,0.96,100,24,3,46,27,27,73,0.8888888888888888,0.6301369863013698,0.258751902587519,0.09523809523809523,0.416221466731423,True,,4.139784946236559,1.2280707400276438,13.955075096652058,False
anthropic_sonnet5,Claude,20.0,0.99,100,25,2,37,36,27,73,0.9259259259259259,0.5068493150684932,0.41907661085743275,0.26203208556149726,0.5662596110357305,True,,9.928,2.506219009116849,39.328240525449026,False
